key,開催日,開催場,開催回,クラス,クラス特徴,着順,枠番,馬番,馬名,性,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,賞金,芝ダート,距離,天候,馬場
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),5,1,1,ランドボルケーノ,牡,3,55,幸英明,1:25.1,1,13-12,37.7,5.7,3.0,470(0),55.0,ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),5,8,14,ルモンド,牡,5,57,吉田隼人,1:25.1,同着,4-3,39.0,8.5,5.0,478(+12),55.0,ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),7,2,2,スラッシュメタル,セ,6,57,池添謙一,1:25.3,1.1/4,12-13,38.0,43.0,12.0,450(+10),,ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),8,5,7,プロバーティオ,牡,3,55,Ｍ．デム,1:25.5,1.1/2,5-5,39.1,6.7,4.0,500(+4),,ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),9,6,10,エイシンディーデイ,牡,3,55,福永祐一,1:25.7,1,8-7,38.9,5.5,2.0,480(0),,ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),10,6,9,コパノジャンピング,牡,3,55,坂井瑠星,1:26.0,2,13-14,38.6,250.5,14.0,538(+2),,ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),11,3,3,タケルラスティ,牡,4,53,古川奈穂,1:26.3,1.3/4,8-10,39.5,12.6,8.0,496(-4),,ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),12,3,4,マハーラーニー,牝,5,52,服部寿希,1:26.8,3,6-9,40.1,240.5,13.0,450(-16),,ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),13,8,13,シュアゲイト,牡,4,57,国分優作,1:27.6,5,1-3,41.8,40.5,11.0,506(+8),,ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),14,4,6,ノックオンウッド,牡,3,55,ルメール,1:27.7,クビ,2-2,41.8,5.1,1.0,500(-4),,ダ,1400m,晴,良
202109040409,2021年10月17日,阪神,4回4日目,2歳オープン,(国際)(特指)(別定),1,4,4,カジュフェイス,牡,2,55,幸英明,1:23.3,,1-1,35.7,4.4,2.0,476(-2),"1,614.7",芝,1400m,晴,良
202109040409,2021年10月17日,阪神,4回4日目,2歳オープン,(国際)(特指)(別定),2,1,1,テーオースパロー,牡,2,55,岩田望来,1:23.9,3.1/2,6-6,35.1,6.2,4.0,482(+2),644.2,芝,1400m,晴,良
202109040409,2021年10月17日,阪神,4回4日目,2歳オープン,(国際)(特指)(別定),3,6,6,ジャスパークローネ,牡,2,55,Ｍ．デム,1:24.0,1/2,2-2,36.2,8.5,5.0,488(+2),402.1,芝,1400m,晴,良
202109040409,2021年10月17日,阪神,4回4日目,2歳オープン,(国際)(特指)(別定),4,5,5,モンゴリアンキング,牡,2,55,池添謙一,1:24.0,アタマ,2-2,36.1,2.2,1.0,474(0),240.0,芝,1400m,晴,良
202109040409,2021年10月17日,阪神,4回4日目,2歳オープン,(国際)(特指)(別定),5,3,3,カワキタレブリー,牡,2,55,戸崎圭太,1:24.1,クビ,5-5,35.4,14.2,6.0,432(+12),160.0,芝,1400m,晴,良
202109040409,2021年10月17日,阪神,4回4日目,2歳オープン,(国際)(特指)(別定),6,2,2,ショウナンマッハ,牡,2,55,松山弘平,1:24.4,1.3/4,4-4,35.9,5.7,3.0,488(-2),,芝,1400m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),1,5,9,ジェラルディーナ,牝,3,53,福永祐一,1:46.1,,12-9,33.3,2.4,1.0,444(+6),"1,852.9",芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),2,1,1,イズジョーノキセキ,牝,4,55,岩田康誠,1:46.4,1.3/4,7-7,33.7,6.7,3.0,460(+4),739.4,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),3,5,8,タガノパッション,牝,3,53,岩田望来,1:46.6,1,6-6,34.1,4.3,2.0,472(+2),464.7,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),4,3,4,テーオーラフィット,牝,3,53,池添謙一,1:46.9,1.3/4,3-4,34.7,8.9,5.0,502(-4),270.0,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),5,2,2,マイネルミュトス,牡,5,57,Ｍ．デム,1:46.9,クビ,13-13,33.8,32.4,9.0,476(-6),182.0,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),6,2,3,ラヴユーライヴ,牝,4,55,坂井瑠星,1:47.0,1/2,10-11,34.1,8.5,4.0,434(-2),,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),7,7,12,レザネフォール,牡,4,57,ルメール,1:47.1,クビ,3-2,35.0,29.1,8.0,474(-2),,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),8,6,11,ティグラーシャ,牝,5,55,吉田隼人,1:47.1,クビ,1-1,35.2,102.9,12.0,448(-4),,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),9,3,5,シャフトオブライト,牡,6,57,幸英明,1:47.3,3/4,3-4,35.0,63.1,10.0,456(+4),,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),10,8,15,デクレアラー,牡,6,57,丸田恭介,1:47.8,3,2-2,35.8,335.7,14.0,474(-6),,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),11,4,6,パラスアテナ,牝,4,55,武豊,1:48.3,3,7-9,35.5,15.3,6.0,440(-6),,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),12,6,10,ルリアン,牡,4,57,川田将雅,1:48.4,1/2,10-11,35.4,18.7,7.0,512(0),,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),13,7,13,ヒーリングマインド,セ,5,57,藤岡康太,1:48.4,アタマ,15-15,34.9,261.1,13.0,476(+14),,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),14,4,7,オンザロックス,牡,8,57,松山弘平,1:48.7,1.3/4,13-14,35.4,344.0,15.0,490(+4),,芝,1800m,晴,良
202109040410,2021年10月17日,阪神,4回4日目,3歳以上3勝クラス,(混)(特指)(定量),15,8,14,ショウリュウハル,牝,4,55,戸崎圭太,1:49.1,2.1/2,9-7,36.4,64.3,11.0,490(+6),,芝,1800m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),1,6,12,アカイトリノムスメ,牝,3,55,戸崎圭太,2:01.2,,6-5-5-4,35.9,8.9,4.0,448(-2),"10,336.0",芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),2,7,14,ファインルージュ,牝,3,55,ルメール,2:01.3,1/2,11-11-10-10,35.5,5.6,2.0,494(-2),"4,096.0",芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),3,5,9,アンドヴァラナウト,牝,3,55,福永祐一,2:01.4,1/2,4-5-5-6,36.1,7.3,3.0,432(-4),"2,548.0",芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),4,3,5,エイシンヒテン,牝,3,55,松若風馬,2:01.6,1.1/2,1-1-1-1,36.9,40.7,10.0,452(0),"1,500.0",芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),5,3,6,スライリー,牝,3,55,石川裕紀,2:01.7,クビ,9-10-10-11,35.9,223.0,15.0,432(+4),"1,000.0",芝,2000m,晴,良
